"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"KLHDC10",3.4576910582832e-43,-0.226839057541186,0.114,0.077,2.19774301355538e-38,"Brain","KLHDC10","No",NA
"ATF7IP",5.44152347534402e-43,-0.234595658544851,0.113,0.076,3.45868673616342e-38,"Brain","ATF7IP","No",NA
"ATP2B4.1",9.69111236817918e-43,-0.877697342505472,0.092,0.124,6.15976793233837e-38,"Brain","ATP2B4","Down","ATP2B4"
"NFATC2IP",1.00607196656353e-42,-0.181807951576146,0.104,0.069,6.39469402667445e-38,"Brain","NFATC2IP","No",NA
"NBEA",1.39340311115858e-42,-0.171231259054065,0.114,0.077,8.85660951483504e-38,"Brain","NBEA","No",NA
"NR2F2.1",1.56656819419145e-42,-0.152415663857692,0.275,0.204,9.95726409910029e-38,"Brain","NR2F2","No",NA
"RPS19.1",2.89092200904751e-42,-0.251456008957129,0.185,0.132,1.83749893817069e-37,"Brain","RPS19","No",NA
"PTPN4",2.91779238858004e-42,-0.238879985042139,0.117,0.079,1.85457802010536e-37,"Brain","PTPN4","No",NA
"ST6GAL1.1",4.82460027127777e-42,-0.281323607532839,0.286,0.21,3.06656417842686e-37,"Brain","ST6GAL1","No",NA
"C17orf76-AS1.1",8.77994358331663e-42,-0.203838334662708,0.139,0.097,5.58061994099189e-37,"Brain","C17orf76-AS1","No",NA
"LRCH1.1",1.36917799942112e-41,-0.283924612648233,0.215,0.156,8.70263228212061e-37,"Brain","LRCH1","No",NA
"UBE4B",1.45661381259291e-41,-0.183821686947878,0.119,0.081,9.25838305422178e-37,"Brain","UBE4B","No",NA
"IFITM2",1.90242543197258e-41,-0.229634209934276,0.127,0.088,1.20920062881609e-36,"Brain","IFITM2","No",NA
"POGZ.1",2.38903032326482e-41,-0.270210933318915,0.137,0.095,1.51849156377035e-36,"Brain","POGZ","No",NA
"TRAF3IP2-AS1",3.45684381436812e-41,-0.187557134680367,0.115,0.079,2.19720449685052e-36,"Brain","TRAF3IP2-AS1","No",NA
"QSER1",4.18420739233085e-41,-0.177998572267696,0.103,0.069,2.65952406063941e-36,"Brain","QSER1","No",NA
"IMMP2L.1",1.25021286317942e-40,-0.232822146931893,0.213,0.155,7.94647797965472e-36,"Brain","IMMP2L","No",NA
"CDH5",1.45860994817719e-40,-0.904942344206308,0.229,0.247,9.27107069160904e-36,"Brain","CDH5","Down","CDH5"
"CNN3",1.52536787564095e-40,-0.294291755276055,0.167,0.119,9.69539075436145e-36,"Brain","CNN3","No",NA
"MAGI1.1",1.83269261695154e-40,-0.990337097937472,0.336,0.331,1.16487775426057e-35,"Brain","MAGI1","Down","MAGI1"
"RPS5.1",1.96457351360746e-40,-0.262661280424212,0.211,0.153,1.24870257098404e-35,"Brain","RPS5","No",NA
"EEF1D",2.83097234609367e-40,-0.184945436357721,0.111,0.076,1.7993943329006e-35,"Brain","EEF1D","No",NA
"BRE.1",6.72454120318933e-40,-0.244616256805396,0.164,0.117,4.27418563415917e-35,"Brain","BRE","No",NA
"MYCT1.1",7.44340349700428e-40,-0.305818917184574,0.142,0.1,4.73110169673089e-35,"Brain","MYCT1","No",NA
"PDSS2",7.95976904687309e-40,-0.234193311487684,0.116,0.079,5.05930880388301e-35,"Brain","PDSS2","No",NA
"CD93.1",1.16198632173144e-39,-0.335682210953462,0.37,0.272,7.38570125955721e-35,"Brain","CD93","No",NA
"BTRC",1.20926381726429e-39,-0.228984148072505,0.106,0.071,7.68620174891356e-35,"Brain","BTRC","No",NA
"UBE2D3.1",1.34012635668326e-39,-0.299135722007242,0.174,0.125,8.51797713571446e-35,"Brain","UBE2D3","No",NA
"ZNF407.1",1.3419774012422e-39,-0.258747314973631,0.13,0.091,8.52974256003552e-35,"Brain","ZNF407","No",NA
"RPL26.1",1.44398080982371e-39,-0.270339205694665,0.15,0.106,9.1780864253205e-35,"Brain","RPL26","No",NA
"SH3D19.1",1.72807608238022e-39,-1.01736943802901,0.141,0.169,1.09838243872169e-34,"Brain","SH3D19","Down","SH3D19"
"TM4SF1.1",1.78609219388651e-39,-0.962848751213397,0.13,0.16,1.13525805935621e-34,"Brain","TM4SF1","Down","TM4SF1"
"ATP9B",2.43263770994388e-39,-0.236226514811824,0.108,0.073,1.54620885481743e-34,"Brain","ATP9B","No",NA
"MON2.1",2.45919044133057e-39,-0.232104289329606,0.129,0.09,1.56308603641412e-34,"Brain","MON2","No",NA
"SNTB2.1",2.95922482935846e-39,-0.27512355484355,0.171,0.123,1.88091289378853e-34,"Brain","SNTB2","No",NA
"FNIP1",3.08137069836991e-39,-0.227157392825239,0.11,0.075,1.9585500295909e-34,"Brain","FNIP1","No",NA
"JUND.1",4.38901872640563e-39,-0.259215030819235,0.145,0.103,2.78970419269068e-34,"Brain","JUND","No",NA
"PLK2.1",5.5678556809706e-39,-0.291341526360703,0.123,0.086,3.53898474938173e-34,"Brain","PLK2","No",NA
"SPIDR.1",5.92035600483203e-39,-0.256026267039324,0.198,0.144,3.76303748023129e-34,"Brain","SPIDR","No",NA
"MAP4.1",6.4535216362854e-39,-0.295639481333069,0.273,0.202,4.10192288723936e-34,"Brain","MAP4","No",NA
"PELI2",6.9883754426984e-39,-0.258991692217867,0.103,0.069,4.44188131513353e-34,"Brain","PELI2","No",NA
"RPS10.1",9.00447905932593e-39,-0.221682830027956,0.146,0.104,5.72333693489816e-34,"Brain","RPS10","No",NA
"SLC44A2.1",9.45863248298171e-39,-0.274870408966398,0.151,0.107,6.01200139250801e-34,"Brain","SLC44A2","No",NA
"GNB2L1.1",1.08603955965342e-38,-0.315313780596704,0.281,0.206,6.90297604511311e-34,"Brain","GNB2L1","No",NA
"FBXL20",1.40703327153001e-38,-0.228086909808623,0.118,0.081,8.94324417717189e-34,"Brain","FBXL20","No",NA
"MAP3K1",1.70785001144682e-38,-0.292678710016889,0.118,0.081,1.08552654577571e-33,"Brain","MAP3K1","No",NA
"TGM2.1",2.84437353076005e-38,-1.13011458877272,0.105,0.134,1.80791225988639e-33,"Brain","TGM2","Down","TGM2"
"PCMTD1",3.13881807171028e-38,-0.254583151172086,0.103,0.069,1.99506415455977e-33,"Brain","PCMTD1","No",NA
"FXYD6.1",4.36773542529675e-38,-0.930116140177976,0.142,0.171,2.77617631367287e-33,"Brain","FXYD6","Down","FXYD6"
"MACROD2.1",8.16773206138295e-38,-0.385498025211523,0.152,0.107,5.19149217553562e-33,"Brain","MACROD2","No",NA
"DNMT3A",1.31915493931558e-36,-0.187115405018411,0.103,0.071,8.38468070978374e-32,"Brain","DNMT3A","No",NA
"ASAP2.1",1.45131344138922e-36,-0.286095684919824,0.167,0.121,9.224693364814e-32,"Brain","ASAP2","No",NA
"APLP2",1.74450369299796e-36,-0.312635109389522,0.236,0.174,1.10882399230644e-31,"Brain","APLP2","No",NA
"PDLIM5.1",2.33326252054382e-36,-0.241856768093031,0.158,0.114,1.48304499068285e-31,"Brain","PDLIM5","No",NA
"HS2ST1",3.87541101587702e-36,-0.239654523053672,0.11,0.076,2.46324999580159e-31,"Brain","HS2ST1","No",NA
"HGSNAT",4.07973568209748e-36,-0.239559557996228,0.105,0.072,2.59312079689798e-31,"Brain","HGSNAT","No",NA
"SREBF2",4.3626687848661e-36,-0.247740582945467,0.118,0.083,2.77295590634874e-31,"Brain","SREBF2","No",NA
"CD63.1",6.15545537544743e-36,-0.302614282297656,0.222,0.164,3.91246899118814e-31,"Brain","CD63","No",NA
"GPHN",8.35970042994313e-36,-0.317006332500603,0.21,0.154,5.31350919027615e-31,"Brain","GPHN","No",NA
"FNBP4",1.17478971363034e-35,-0.221442928996038,0.103,0.071,7.4670808988058e-31,"Brain","FNBP4","No",NA
"CCND1.1",1.43988359402374e-35,-0.974668987802352,0.132,0.159,9.1520441119743e-31,"Brain","CCND1","Down","CCND1"
"IGF2R.1",1.53513055566044e-35,-0.182781404658417,0.25,0.188,9.75744332483333e-31,"Brain","IGF2R","No",NA
"FDPS",2.24097948743185e-35,-0.238814659373263,0.109,0.076,1.42438897200656e-30,"Brain","FDPS","No",NA
"RCOR1",6.37673556794792e-35,-0.287525219515421,0.118,0.082,4.05311689434338e-30,"Brain","RCOR1","No",NA
"SIK2.1",6.90832756493139e-35,-0.234835385771791,0.126,0.089,4.39100208354604e-30,"Brain","SIK2","No",NA
"PBX3",7.40432875223027e-35,-0.237245434568841,0.111,0.078,4.70626539820508e-30,"Brain","PBX3","No",NA
"SP100.1",8.05570001498849e-35,-0.263414875708078,0.127,0.09,5.12028348652684e-30,"Brain","SP100","No",NA
"RDX.1",1.27086156165897e-34,-0.962145423800763,0.166,0.189,8.07772317206057e-30,"Brain","RDX","Down","RDX"
"LRRFIP2",3.16856193591883e-34,-0.28402158748004,0.109,0.076,2.01396965208937e-29,"Brain","LRRFIP2","No",NA
"RBM6.1",3.398486413748e-34,-0.308897518001872,0.192,0.142,2.16011194944236e-29,"Brain","RBM6","No",NA
"HIVEP3.1",4.14169578978622e-34,-0.33468492454436,0.139,0.099,2.63250326094602e-29,"Brain","HIVEP3","No",NA
"ITGA6.1",4.43742489902905e-34,-0.335696886802425,0.206,0.152,2.82047164007186e-29,"Brain","ITGA6","No",NA
"LPHN2.1",1.72898218302328e-33,-0.344001403766948,0.392,0.292,1.09895836535143e-28,"Brain","LPHN2","No",NA
