"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"CARD8.3",7.14177329586743e-73,0.132098277894741,0.172,0.088,4.5393825245863e-68,"Pancreas","CARD8","No",NA
"VPS35.1",1.01145695707133e-72,0.17213518261401,0.133,0.063,6.42892156484111e-68,"Pancreas","VPS35","No",NA
"U2AF1.1",1.0830654258757e-72,0.231199304342804,0.127,0.059,6.88407215340853e-68,"Pancreas","U2AF1","No",NA
"BBX.7",1.30165854249848e-72,0.127255298110027,0.215,0.118,8.27347186197458e-68,"Pancreas","BBX","No",NA
"CRK.8",2.38026917826476e-72,0.158416409668916,0.211,0.116,1.51292289239686e-67,"Pancreas","CRK","No",NA
"EMC10",2.44473352838605e-72,0.143982078294105,0.109,0.048,1.55389707797746e-67,"Pancreas","EMC10","No",NA
"MLXIP.1",2.91483520066777e-72,0.175554731405326,0.129,0.06,1.85269840189644e-67,"Pancreas","MLXIP","No",NA
"SNX9.8",3.29064823649848e-72,0.0562989788418675,0.234,0.13,2.0915689256008e-67,"Pancreas","SNX9","No",NA
"IPO9.2",4.94482477902919e-72,0.172666410270801,0.153,0.076,3.14298007779874e-67,"Pancreas","IPO9","No",NA
"ZFAND5",1.30241040350482e-71,0.179626563787999,0.13,0.062,8.27825076571696e-67,"Pancreas","ZFAND5","No",NA
"OIP5-AS1",1.99634446245741e-71,0.178432481550518,0.111,0.049,1.26889650378255e-66,"Pancreas","OIP5-AS1","No",NA
"TNPO2",2.91292402179845e-71,0.222040211650961,0.104,0.045,1.85148363749532e-66,"Pancreas","TNPO2","No",NA
"SHC2",3.7132444419813e-71,0.296170512938536,0.109,0.048,2.36017529976774e-66,"Pancreas","SHC2","No",NA
"BMPR2.9",3.83003666764208e-71,0.144262905537046,0.546,0.355,2.43440960631998e-66,"Pancreas","BMPR2","No",NA
"KMT2A.7",4.53582719552912e-71,0.0750696667550244,0.269,0.156,2.88301712375026e-66,"Pancreas","KMT2A","No",NA
"UBE2H.7",5.71256894401165e-71,-0.00618471507874974,0.244,0.14,3.63096594650325e-66,"Pancreas","UBE2H","No",NA
"MSL1",5.90889601576046e-71,0.2110037177417,0.104,0.046,3.7557533965775e-66,"Pancreas","MSL1","No",NA
"ARF1.7",6.14171380617193e-71,0.0940633289491182,0.199,0.107,3.90373471234094e-66,"Pancreas","ARF1","No",NA
"FZD4",1.29895929651927e-70,0.08223077697131,0.136,0.065,8.25631518460615e-66,"Pancreas","FZD4","No",NA
"TNFRSF1A.1",1.31334921357791e-70,0.131004834431245,0.144,0.071,8.34777893642253e-66,"Pancreas","TNFRSF1A","No",NA
"PIK3R3",1.41445497520876e-70,0.254428189047595,0.122,0.057,8.99041726792438e-66,"Pancreas","PIK3R3","No",NA
